frame,x_Left_Ankle,y_Left_Ankle,x_Right_big_Toe,y_Right_big_Toe,x_Right_Ankle,y_Right_Ankle,x_Right_Knee,y_Right_Knee,x_Right_Hip,y_Right_Hip,x_Right_Shoulder,y_Right_Shoulder
192,161.78,446.84,109.05,470.19,74.54,457.56,107.72,379.98,83.75,298.2,68.59,187.34
193,165.8,446.75,110.33,469.9,74.28,457.7,109.91,381.76,83.2,299.17,68.78,190.17
194,169.72,447.21,109.96,469.77,74.4,458.02,111.96,382.6,83.05,301.43,69.16,192.87
195,173.35,447.14,109.96,469.77,74.47,457.83,113.74,383.25,83.91,303.83,69.28,194.95
196,176.18,447.42,110.01,470.08,74.4,457.91,115.6,384.47,83.83,306.7,69.46,196.82
197,179.64,448.24,110.42,470.24,74.81,458.2,117.48,386.06,82.9,305.12,69.78,199.76
198,182.14,448.54,110.42,470.24,75.06,458.43,119.86,387.73,83.89,307.93,69.14,201.35
199,184.56,449.32,110.42,470.24,74.19,459.28,121.06,389.04,83.43,310.21,69,203.61
200,186.72,450.01,110.42,470.24,74.1,459.56,122.54,390.31,84.19,311.47,69.63,205.17
201,187.92,450.59,110.25,470.68,74.03,459.74,124.05,391.02,84.5,312.09,70.24,206.04
202,189.74,450.84,110.32,470.79,74.63,459.71,125.08,391.68,84.03,314.64,70.65,208.27
203,192.07,450.64,110.28,470.85,74.05,459.83,125.94,392.19,84.21,316.38,71.02,209.38
204,193.59,450.44,110.1,470.84,74.81,459.48,126.58,392.6,84.61,317.6,71.04,210.38
205,195.5,450.84,109.89,470.95,74.63,459.41,127.5,392.73,86.3,315.92,71,209.89
206,196.49,450.48,109.89,470.95,75.2,458.82,128.39,393.67,85.43,320.41,71.99,212.9
207,197.96,449.86,109.58,470.99,75.41,458.57,129.31,393.94,85.91,320.46,71.6,213.91
208,199.48,450.09,109.79,470.15,74.93,458.63,129.64,394.48,88.03,318.84,71.84,212.43
209,200.19,450.34,110.33,470.19,75.09,458.64,130.18,394.45,88.34,320,71.83,212.52
210,200.36,451.2,110.88,470.21,74.73,458.59,130.15,394.7,88.79,320.52,72.27,213.68
211,200.08,452.33,110.74,471.02,75.01,458.65,130.27,395.1,88.47,319.76,71.97,213.53
212,200.23,452.67,110.84,470.79,75.19,458.69,130.24,395.2,88.49,320.14,72.62,215.87
213,199.87,452.63,110.99,470.48,74.99,458.53,130.2,395.28,88.58,320.46,72.85,215.83
214,199,452.19,110.76,470.43,74.83,458.53,130.21,396.12,87.43,321.9,72.59,213.8
215,200.06,452.08,110.76,470.43,74.92,458.84,130.36,395.02,88.8,320.91,73.17,213.93
216,199.9,451.2,110.76,470.43,74.94,458.8,129.95,394.68,88.29,320.75,72.9,213.45
217,199.84,450.46,109.68,470.82,75.05,458.81,129.66,394.15,88.16,320.9,72.7,212.47
218,198.36,449.55,109.68,470.82,74.75,458.95,128.22,393.23,86.61,319.44,72.81,213.55
219,197.35,448.67,109.68,470.82,74.72,458.98,127.55,392.5,86.51,316.39,72.63,210.1
220,197.13,448.04,109.51,470.46,74.65,459.29,126.69,391.94,84.6,315.23,72.33,210.05
221,194.6,447.3,109.51,470.46,74.64,459.51,124.96,390.98,84.38,313.33,72.84,208.3
222,190.56,445.81,109.51,470.46,74.64,459.42,123.04,390.39,84.03,312.39,72.7,205.34
223,187.06,445.43,109.33,470.23,74.34,459.31,120.92,387.77,83.57,310.36,72.09,202.34
224,182.4,444.88,109.17,469.78,74.02,458.51,117.13,384.84,81.46,304.96,73.51,199.26
225,177.85,444.49,109.3,469.51,74.38,458.05,114.29,383.05,82.44,304.51,73.39,195.75
226,173.28,444.25,109.49,469.42,74.03,457.81,111.36,382.13,81.75,300.14,72.41,192.89
227,166.85,443.2,109.3,469.07,74.18,457.82,108.62,379.64,82.29,297.37,72.66,188.43
228,160.03,443.3,109.68,468.72,73.94,457.06,104.58,378.08,81.99,296.44,72.73,185.42
229,154.02,443.11,110.5,469.1,73.65,456.99,99.35,375.08,81.41,292.9,72.42,182.15
230,147,442.03,111.47,469.53,72.84,457.33,95.8,373.51,79.54,289.74,73.21,180.04
231,140,442.73,110.7,469.53,72.01,458,90.71,373.36,82.04,287.49,73.38,177.91
232,132.73,443.84,110.41,469.43,71.61,457.43,86.96,372.77,81.31,286.76,73.8,175.84
233,125.49,443.58,109.66,469.49,71.38,457.27,84.98,373.35,81.43,286.56,74.64,174.99
234,118.55,444.11,109.63,469.67,71.56,457.66,83.16,372.9,81.63,287.16,75.12,174.26
235,111.2,445.83,108.32,469.99,71.13,457.84,81.94,373.4,80.39,289.01,75.08,173.78
236,103.67,446.38,108.62,470.03,71.56,457.23,80.71,372.12,80.3,289.87,76.17,173.67
237,97.24,446.46,107.45,470.99,71.1,457.54,80.53,371.5,80.19,290.03,76.4,173.23
238,88.07,446.91,108.15,471.23,71.22,457.51,79.52,371.53,80.63,290.27,77.16,173.24
239,83.9,446.51,107.15,471.2,70.78,458.14,79.3,371.48,80.85,290.26,77.19,173.4
240,80.37,448.77,106.61,471.06,71.22,456.74,78.96,371.38,81.14,289.87,77.48,173.25
241,76.33,449.65,107.36,469.72,70.85,456.66,77.95,371.18,80.93,290.2,77.78,173.46
242,66.54,448.07,111.08,469.08,71.78,455.62,77.94,371.91,82.21,286.54,77.71,173.44
243,63.36,447.77,110.17,468.37,71.47,456.42,78.08,372.8,81.78,288.37,77.75,173.5
244,57.23,446.95,109.71,468.37,71.56,457.42,77.61,372.37,81.98,288.51,77.78,173.71
245,57.21,447.19,111.06,468.85,71.71,456.96,78.05,373.16,81.52,290.3,78.03,173.91
246,55.61,446.8,110.56,468.71,71.53,456.8,78.08,374.08,81.71,290.31,77.92,173.92
247,54.69,446.72,110.55,468.78,71.78,456.77,77.31,374.65,81.52,290.93,77.89,173.69
248,53.95,447.44,110.87,468.78,72.3,456.52,77.53,374.63,81.5,290.91,77.9,173.8
249,53.24,447.5,110.88,468.84,71.58,456.36,77.1,374.66,81.69,291.12,78.15,173.71
250,53.32,447.37,110.99,468.98,71.58,456.46,77.05,374.66,81.62,290.94,78.37,173.7
251,53.27,447.74,109.69,469.4,71.4,457.06,76.66,375.12,81.41,290.93,78.56,173.44
252,53.12,446.17,110.98,469.19,70.96,456.9,76.88,373.18,81.5,289.82,78.5,173.46
253,53.18,446.73,109.75,469.48,70.9,456.8,75.9,373.29,81.55,289.6,78.62,173.48
254,53.22,446.07,111.07,469.59,70.8,456.86,76.69,372.31,81.46,288.91,78.77,173.43
255,53.19,444.84,110.81,469.63,70.58,456.62,77.05,370.85,81.93,288.78,78.77,173.44
256,53.93,444.61,110.42,469.27,70.58,456.44,76.38,370.94,82.05,288.4,78.84,173.51
257,56.26,445.3,110.87,469.43,70.77,456.69,77.63,370.47,82.56,288.61,78.64,173.73
258,57.74,447.87,111.26,469.33,71.27,457.48,76.43,371.52,83.06,288.56,78.47,173.54
259,61.29,449.53,110.67,468.55,71.14,456.71,76.67,373.2,83.06,288.62,78.12,173.6
260,66.28,449.67,111.22,468.47,71.87,456.27,77.13,373.55,82.84,289.7,78.08,173.8
261,77.37,451.45,107.86,470.02,70.85,457.8,77.41,371.94,82.35,292.28,77.58,173.62
262,80.9,448.24,107.39,471.27,70.95,457.8,78.28,373.19,82.24,292.01,77.46,173.76
263,85.93,447.67,108.32,471.22,70.82,457.39,79.3,373.52,82.35,291.28,77.43,173.7
264,91.69,447.95,108.06,471.5,70.61,457.13,79.69,372.98,82.18,291.98,77.23,173.29
265,97.83,448.55,107.72,470.31,71.15,457.82,80.06,372.29,82.14,291.22,77.31,173.52
266,104.34,448.65,107.33,470.02,71.7,458.34,81.79,372.54,81.44,286.59,76.61,175
267,111.81,448.85,108,469.65,71.29,457.95,83.98,372.86,82.01,287.04,76.46,174.82
268,118.69,448.57,109.29,469.27,72.45,458.17,87.27,372.63,81.64,287.27,76.24,175.87
269,124.86,446.88,109.64,469.11,72.44,457.64,88.6,372.87,82.98,287.78,76.28,175.71
270,131.61,446.56,109.98,468.99,72.64,457.41,92.01,373.25,81.15,291.86,75.92,176.68
271,137.34,446.05,109.82,469.14,72.92,457.62,95.72,374.03,80.35,292.54,75.17,178.39
272,143.26,445.12,110.46,468.83,73.91,457.75,99.12,376.62,81.14,293.84,75.29,180.25
273,149.18,445.2,110.68,469.08,73.73,456.84,101.86,377.72,82.86,297.11,74.66,181.89
274,154.51,444.91,110.22,469.2,74.23,456.71,105.68,377.76,81.73,298.21,74.21,183.95
275,159.02,445.32,110.74,469.36,74.09,456.76,108.68,378.77,82.47,298.17,74.1,185.43
276,164.2,445.76,110.29,469.43,74.35,457.09,111.11,381.01,82.66,299.01,72.86,188.86
277,168.91,446.68,110.29,469.43,74.34,456.98,113.4,382.07,82.04,302.19,73.33,191.64
278,172.55,445.71,110.29,469.43,74.19,457.14,115.29,383.6,82.27,306.11,72.39,194.41
279,175.65,446.44,110.29,469.43,74.77,457.15,116.8,384.61,83.73,306.9,72.92,196.61
280,179.26,448.02,110.29,469.43,74.75,457.37,119.74,386.18,83.09,307.62,71.88,199.17
281,181.22,448.74,110.29,469.43,74.45,457.65,121.95,388.23,83.42,310.13,71.58,201.1
282,183.67,450.21,110.29,469.43,74.73,458.34,122.19,388.87,83.57,311.92,71.24,202.82
283,185.38,451.03,110.29,469.43,74.29,458.5,124.44,389.67,83.57,312.46,70.84,204.53
284,187.27,452.02,109.28,469.74,73.99,458.75,125.82,390.46,84.86,313.22,70.63,205.85
285,189,452.29,109.31,469.92,73.98,458.84,126.56,391.18,85.74,314.78,71.16,208.35
286,190.8,452.93,109.21,470.15,73.84,458.87,127.62,392.11,83.84,316.7,70.72,209.99
287,192.06,453.75,109.21,470.02,73.9,458.74,127.94,391.86,86.81,316.07,70.89,210.2
288,193.28,454.42,109.33,469.99,74.01,458.56,129.12,393.25,86.38,320.25,71.39,212.43
289,194.35,454.66,109.18,470.06,74.62,458.09,129.78,393.7,86.18,320.82,71.99,213.69
290,195.09,454.93,109.17,470.03,74.7,458.06,130.21,394.24,85.03,322.11,72.34,214.27
291,195.85,454.45,109.08,469.83,74.74,457.97,130.03,393.9,86.54,320.52,72.27,212.58
292,195.6,453.44,109.01,469.89,74.74,457.98,130.33,394.4,86.16,320.74,72.42,212.94
293,196.13,452.69,109.11,469.8,74.69,458.32,130.34,394.16,83.36,321.49,72.91,215.04
294,195.53,451,109.17,470,74.83,458.4,129.85,393.79,82.83,321.65,73.09,214.65
295,195.96,449.54,109.33,469.84,74.55,458.54,129.49,392.9,82.96,323.3,72.72,213.91
296,195.97,448.39,109.23,469.89,74.74,458.45,128.74,391.77,82.59,319.86,72.14,213.36
297,194.36,446.66,109.4,469.81,74.17,458.97,127.11,390.64,81.21,319.73,71.74,211.82
298,191.7,444.38,109.11,469.56,74.42,458.55,125.91,389.9,79.99,315.17,71.28,209.98
299,189.01,443.89,109.19,469.44,74.13,458.56,123.74,389.09,79.48,313.22,70.57,208.26
300,186.58,442.73,108.91,469.31,73.86,458.06,120.73,385.87,78.75,312.44,69.97,205.34
301,182.68,442.04,108.84,469.31,74.29,457.54,117.63,383.79,78.63,308.66,70.02,201.85
302,178.94,441.61,108.84,469.31,74.4,457.39,114.97,381.73,79.04,306.06,70.14,198.2
303,174.33,441.98,108.84,469.31,73.97,457.41,112.12,380.48,76.78,301.44,69.67,195.06
304,169.17,441.24,109.13,468.91,73.82,456.84,109.01,379.23,76.14,298.66,69.7,191.81
305,163.86,440.6,109.23,468.78,73.72,456.13,105.53,377.86,77.05,297.26,69.57,189.04
306,158.7,441.28,109.76,468.62,73.64,455.8,101.27,375.95,77.02,294.54,69.98,186.36
307,152.94,440.79,110.43,468.72,73.33,456,96.64,373.14,77.14,291.69,70,182.77
308,147.09,440.25,110.37,468.66,72.62,455.9,93.03,372,76.94,290.34,70.25,179.74
309,141.47,441.63,110.12,468.4,72.14,456.99,88.66,371.36,77.76,289.48,70.62,178.98
310,134.76,442.6,110.39,468.32,71.49,456.47,86.08,371.54,78.83,287.08,70.38,177.38
311,128.51,442.36,110.08,468.5,71.68,456.83,82.79,371.31,77.61,288.09,71.76,176.04
312,121.94,442.61,110.67,468.79,71.77,457,80.97,370.87,78.63,288.32,71.72,174.68
313,114.48,443.87,109.28,468.88,71.29,456.56,79.38,370.64,78.87,287.4,72.3,173.63
314,107.12,445,108.69,469.12,71.92,456.81,78.28,370.93,78.45,288,72.86,173.23
315,99.73,445.25,108.46,468.83,70.93,456.93,76.86,371.81,77.33,286.49,72.54,173.47
316,93.37,445.94,110.21,470.13,71.49,456.45,77.3,371.33,79.11,289.05,73.05,172.6
317,87.32,446.26,107.84,470.47,71.24,456.84,77.7,372.76,79.66,287.4,73.43,172.46
318,81.93,446.68,106.32,470.84,71.26,456.57,76.47,372.45,80.53,285.98,73.46,172.41
319,78.9,447.35,107.1,469.54,71.05,456.06,76.48,371.31,80.81,286.38,73.68,172.15
320,74.34,449.13,109.62,467.95,71.46,457.39,77.28,371.87,79.79,285.08,73.81,173.06
321,67.14,447.43,110.77,467.27,72.07,455.95,77.04,371.98,80.79,284.93,73.99,172.95
322,64.31,448.74,111.5,466.97,71.98,456.07,76.52,371.51,80.76,285.06,74.8,173.4
323,62.9,448.35,111.23,467.73,71.69,456.2,74.74,371.94,80.07,286.93,75.51,173.14
324,62.12,449.33,111.46,467.83,71.16,456.46,74,371.61,80.2,287.83,76.17,172.85
325,62.09,449.77,111.15,467.61,71.29,456.57,73.19,371.55,79.75,287.35,77.19,172.63
326,61.92,449.84,110.42,468.24,71.43,456.43,72.91,371.8,79.56,287.71,77.89,172.75
327,61.35,449.57,110.76,468.32,71.31,456.38,73.2,371.51,79.19,288.85,78.03,173.7
328,61.52,449.71,110.93,468.04,71.38,456.46,73.54,371.79,78.97,289.14,77.81,173.51
329,61.72,450.19,110.93,468.08,71.6,456.62,73.57,372.24,78.84,288.41,77.94,173.48
330,61.88,450.45,110.76,468.02,71.67,456.62,73.49,372.31,79.23,288.23,79.28,174.18
331,61.8,450.67,110.49,467.33,71.43,456.61,73.22,372.62,79.21,288.33,79.6,174.4
332,61.39,450.18,110.56,467.43,71.38,456.51,72.71,372.48,79.61,287.96,79.4,174.26
333,61.47,450.08,110.55,467.44,71.18,456.31,73.06,372.66,79.75,289.17,79.55,174.24
334,61.65,450.3,110.71,467.34,71.23,456.39,73.08,372.49,79.84,289.24,79.51,174.2
335,61.56,449.93,111.2,467.66,71.29,456.22,72.98,372.94,80.14,288.6,79.57,174.06
336,61.42,449.87,110.39,467.1,71.3,456.34,73.07,372.98,80.32,287.89,79.5,174.15
337,61.34,449.86,110.32,467.67,71.33,456.68,72.8,372.68,80.45,288.34,79.4,174.32
338,61.67,449.53,110.22,467.86,71.43,456.62,73.39,373.35,80.81,289.06,79.5,174.23
339,62.08,449.62,110.33,467.8,71.6,456.49,73.8,372.93,81.21,289.86,79.27,173.45
340,61.97,449.51,110.32,467.77,71.29,456.42,73.25,373.79,81.13,289.5,79.14,173.44
341,61.88,449.36,110.9,467.82,71.28,456.46,73.78,373.09,81.11,289.96,78.62,173.59
342,61.93,449.34,110.08,467.43,71.3,456.51,73.77,373.19,81.47,290.15,78.74,173.52
343,61.95,449.13,110.08,467.54,71.38,456.5,74.05,374.23,81.66,289.57,78.63,173.49
344,61.89,449.34,111.03,467.89,71.51,456.63,74.11,374.09,81.84,290.32,78.64,173.43
345,61.97,449.2,111.08,467.87,71.59,456.55,73.62,373.7,81.75,288.6,78.34,173.48
346,62.69,449.56,111.18,467.88,71.63,456.7,73.12,375.08,81.9,289.99,78.38,173.48
347,62.75,449.47,111.05,467.88,71.66,456.69,73.1,375.19,81.45,289.29,78.35,173.56
348,63.03,450.04,110.52,467.47,71.58,456.86,73.62,375.13,81.41,288.62,78.05,173.99
349,62.56,449.64,110.62,467.41,71.57,456.81,72.99,375.15,81.25,289.28,78.01,173.8
350,62.58,449.48,110.64,467.32,71.47,456.65,72.55,375.11,81.37,288.47,78.15,173.96
351,62.46,449.58,110.79,467.5,71.61,456.52,72.61,375.33,81.41,289.68,78.13,173.79
352,62.26,449.56,110.96,467.36,71.7,456.57,73.11,375.05,81.29,289.75,78.07,173.94
353,62.1,449.7,110.87,467.3,71.7,456.6,73.38,374.01,81.07,289.48,78.12,173.95
354,61.97,450.01,110.96,467.36,71.65,456.76,73.39,373.65,80.83,289.75,77.96,174.08
355,61.9,449.99,111.05,467.43,71.81,456.73,73.34,373.66,80.88,290.25,77.93,174
356,62.29,450.07,111.11,467.31,72.04,456.47,73.48,373.19,80.74,290.38,78.04,174.09
357,61.72,450.24,111.04,467.21,71.95,456.73,73.43,373.55,80.8,289.34,78.2,174.05
358,61.8,450.21,111.1,467.26,71.87,456.66,73.47,373.45,80.94,290.02,78.4,173.98
359,61.63,449.98,110.87,467.32,71.78,456.61,73.66,373.54,81.06,290.11,78.43,174.09
360,61.99,450.03,110.87,467.26,71.78,456.57,73.61,373.6,81.23,289.56,78.42,174.16
361,61.75,450,110.56,467.49,71.66,456.65,73.68,373.52,80.79,289.55,78.57,174.16
362,61.89,450.34,110.71,467.48,71.75,456.53,73.59,373.76,80.95,289.73,78.66,174.1
363,61.45,450.18,110.88,467.42,72,456.72,73.57,373.67,80.75,290.05,78.49,174.15
364,62.18,450.04,110.72,467.37,71.93,456.71,73.49,374.17,80.87,289.97,78.65,173.99
365,62,450.36,110.67,467.38,71.81,456.85,73.61,374,80.84,289.71,78.86,173.92
366,61.92,450.18,111.07,467.66,71.89,456.84,73.79,373.48,80.89,289.95,78.92,173.79
367,62.12,450.23,110.4,467.71,71.95,457.43,73.36,373.62,81.02,288.62,79.12,173.95
368,62.43,450.49,110.84,467.22,71.96,457.73,73.1,374.94,81.2,289.84,79.22,173.88
369,62.35,449.94,109.69,467.67,71.87,457.5,73.33,374.27,81.15,290.33,79.36,174.02
370,62.68,450.33,110.07,467.6,71.92,457.3,73.71,373.62,80.98,290.31,79.49,174.11
371,64.27,449.52,110.86,467.48,71.39,457.33,73.91,373.25,81.28,290.37,79.67,173.91
372,64.1,450.92,110.91,468.08,71.52,457.24,74.23,373.09,81.29,290.04,80.24,175.09
373,65.82,451.9,111.31,468.5,71.79,457.43,73.9,373.04,80.99,289.58,79.8,174.45
374,68.31,449.96,110.74,468.14,71.52,457.33,74.75,372.99,81.02,289.5,80.03,174.34
375,70.02,450.15,110.78,468.06,71.57,458.45,74.74,372.15,80.33,287.76,79.88,175.07
376,73.6,450.78,110.5,468.56,70.72,457.2,74.42,373.1,81.16,289.14,80.31,174.29
377,73.94,451.04,111.2,468.76,71.43,457.55,74.77,372.51,80.23,287.24,79.87,175.38
378,73.88,451.11,111.23,468.65,71.03,458.27,75.01,372.2,80.31,287.42,79.5,175.05
379,73.9,451.11,111.04,468.04,70.73,456.79,75.05,372.79,81.1,285.84,78.92,174.59
380,73.79,451.53,110.78,468.45,70.44,456.78,74.64,372.54,81.26,288.13,80.26,173.9
381,73.22,451.48,110.57,468.44,70.94,458.23,74.99,372.78,81.74,286.89,79.88,174.75
382,73.16,451.53,110.78,468.36,70.71,458.33,75.27,372.99,82.05,286.73,78.9,175.43
383,73.69,451.44,110.36,468.44,70.01,456.72,75.15,373.88,82.67,288.84,80.15,174.77
